000,000,000
000,000,005
000,000,010
000,000,015
000,000,020
000,000,026
000,000,031
000,000,036
000,000,041
000,000,046
000,000,052
000,000,057
000,000,062
000,000,067
000,000,072
000,000,078
000,000,083
000,000,088
000,000,093
000,000,098
000,000,104
000,000,109
000,000,114
000,000,119
000,000,124
000,000,130
000,000,135
000,000,140
000,000,145
000,000,150
000,000,156
000,000,161
000,000,166
000,000,171
000,000,176
000,000,182
000,000,187
000,000,192
000,000,197
000,000,202
000,000,208
000,000,213
000,000,218
000,000,223
000,000,228
000,000,234
000,000,239
000,000,244
004,000,249
009,000,255
014,000,250
019,000,245
023,000,239
028,000,234
033,000,228
038,000,223
042,000,218
047,000,212
052,000,207
057,000,201
061,000,196
066,000,190
071,000,185
076,000,180
081,000,174
081,000,169
081,000,163
081,000,158
081,000,152
081,000,147
081,000,142
081,000,136
080,000,131
080,000,125
080,000,120
080,000,114
080,000,109
080,000,104
080,000,098
079,000,093
084,000,087
089,000,082
094,000,076
099,000,071
104,000,066
109,000,060
114,000,055
119,000,049
124,000,044
129,000,038
134,000,033
139,000,028
144,000,022
149,000,017
154,000,011
159,000,006
164,000,000
169,000,000
174,000,000
180,000,000
185,000,000
190,000,000
196,000,000
201,000,000
206,000,000
212,000,000
217,000,000
222,000,000
228,000,000
233,000,000
255,000,000
255,000,000
255,000,000
255,000,000
255,005,000
255,010,000
255,016,000
255,021,000
255,027,000
255,032,000
255,037,000
255,043,000
255,048,000
255,054,000
255,059,000
255,064,000
255,070,000
255,075,000
255,081,000
255,085,004
255,090,009
255,095,014
255,100,019
255,105,024
255,109,028
255,114,033
255,119,038
255,124,043
255,129,048
255,134,053
255,138,057
255,143,062
255,148,067
255,153,072
255,158,077
255,163,082
255,163,077
255,163,071
255,163,065
255,163,059
255,163,053
255,163,047
255,163,041
255,163,036
255,163,030
255,163,024
255,163,018
255,163,012
255,163,006
255,163,000
255,163,000
255,163,000
255,163,000
248,163,000
240,163,000
232,163,000
225,163,000
217,163,000
209,163,000
202,163,000
194,163,000
186,163,000
179,163,000
171,163,000
163,163,000
168,163,000
173,163,000
178,169,003
183,175,006
188,181,009
193,187,012
198,193,016
203,199,019
209,205,022
214,212,025
219,218,029
224,224,032
229,230,035
234,236,038
239,242,041
244,248,045
249,255,048
255,255,051
255,255,054
255,255,058
255,255,061
255,255,064
255,255,067
255,255,071
255,255,074
255,255,077
255,255,080
255,255,083
255,255,087
255,255,090
255,255,093
255,255,096
255,255,100
255,255,103
255,255,106
255,255,109
255,255,112
255,255,116
255,255,119
255,255,122
255,255,125
255,255,129
255,255,132
255,255,135
255,255,138
255,255,142
255,255,145
255,255,148
255,255,151
255,255,154
255,255,158
255,255,161
255,255,164
255,255,167
255,255,171
255,255,174
255,255,177
255,255,180
255,255,183
255,255,187
255,255,190
255,255,193
255,255,196
255,255,200
255,255,203
255,255,206
255,255,209
255,255,213
255,255,216
255,255,219
255,255,222
255,255,225
255,255,229
255,255,232
255,255,235
255,255,238
255,255,242
255,255,245
255,255,248
255,255,251
255,255,255
